Item Name,Description,Status,Priority,Story Points,Sprint,Effort Hours,Dependencies
Analyze Current KDS UI Implementation,"Document current mock data usage in KDS screens. Identify all mock data in expo.tsx, station.tsx, and plating.tsx. Document data structures needed from context.",To Do,URGENT,8,Sprint 1: Critical Blockers & Fixes,1,
Connect Expo Screen to useKDSInventory(),"Replace mock courses with real data from context. Import useKDSInventory hook and replace mockCourses, mockTableGroups, and mockFiredCourses with real data.",To Do,URGENT,16,Sprint 1: Critical Blockers & Fixes,2,1.A.1
Connect Station Screen to Real Context,Replace mock items with real order items from context. Import useKDSInventory hook and implement proper grouping by fired course.,To Do,URGENT,16,Sprint 1: Critical Blockers & Fixes,2,1.A.1
Connect Plating Screen to Real Context,Replace mock courses with real completion status. Import useKDSInventory hook and show real completion status.,To Do,URGENT,12,Sprint 1: Critical Blockers & Fixes,1.5,1.A.1
Add Loading States to KDS Screens,Implement LoadingSpinner during data fetch. Import LoadingSpinner component and show spinner while loading is true.,To Do,HIGH,16,Sprint 1: Critical Blockers & Fixes,2,1.A.2; 1.A.3; 1.A.4
Add Error Handling to KDS Screens,Implement ErrorDisplay with retry functionality. Import ErrorDisplay component and show error message if context returns error.,To Do,HIGH,16,Sprint 1: Critical Blockers & Fixes,2,1.A.2; 1.A.3; 1.A.4
End-to-End KDS Workflow Test,"Test complete KDS workflow with real data. Create test event in Supabase, add courses and table groups, fire courses, verify appearance on station screens, and bump items.",To Do,HIGH,24,Sprint 1: Critical Blockers & Fixes,3,1.A.5; 1.A.6
Analyze Current Inventory Flow,"Document current bumpItemWithInventory() implementation. Identify current operation order, document failure scenarios, and identify data inconsistency risks.",To Do,URGENT,8,Sprint 1: Critical Blockers & Fixes,1,
Implement Reverse Operation Order,"Decrement inventory before marking order as done. Call decrementInventoryForOrderItem() first, only bump item if decrement succeeds.",To Do,URGENT,16,Sprint 1: Critical Blockers & Fixes,2,1.B.1
Add Comprehensive Error Handling,"Ensure both operations rolled back on any failure. Catch all error types, log error details, show user-friendly error message.",To Do,URGENT,16,Sprint 1: Critical Blockers & Fixes,2,1.B.2
