Summary,Description,Issue Type,Priority,Story Points,Sprint,Labels,Assignee
Analyze Current KDS UI Implementation,"Document current mock data usage in KDS screens. Identify all mock data in expo.tsx, station.tsx, and plating.tsx. Document data structures needed from context.",Task,URGENT,8,Sprint 1: Critical Blockers & Fixes,roadmap,
Connect Expo Screen to useKDSInventory(),"Replace mock courses with real data from context. Import useKDSInventory hook and replace mockCourses, mockTableGroups, and mockFiredCourses with real data.",Task,URGENT,16,Sprint 1: Critical Blockers & Fixes,roadmap,
Connect Station Screen to Real Context,Replace mock items with real order items from context. Import useKDSInventory hook and implement proper grouping by fired course.,Task,URGENT,16,Sprint 1: Critical Blockers & Fixes,roadmap,
Connect Plating Screen to Real Context,Replace mock courses with real completion status. Import useKDSInventory hook and show real completion status.,Task,URGENT,12,Sprint 1: Critical Blockers & Fixes,roadmap,
Add Loading States to KDS Screens,Implement LoadingSpinner during data fetch. Import LoadingSpinner component and show spinner while loading is true.,Task,HIGH,16,Sprint 1: Critical Blockers & Fixes,roadmap,
Add Error Handling to KDS Screens,Implement ErrorDisplay with retry functionality. Import ErrorDisplay component and show error message if context returns error.,Task,HIGH,16,Sprint 1: Critical Blockers & Fixes,roadmap,
End-to-End KDS Workflow Test,"Test complete KDS workflow with real data. Create test event in Supabase, add courses and table groups, fire courses, verify appearance on station screens, and bump items.",Task,HIGH,24,Sprint 1: Critical Blockers & Fixes,roadmap,
Analyze Current Inventory Flow,"Document current bumpItemWithInventory() implementation. Identify current operation order, document failure scenarios, and identify data inconsistency risks.",Task,URGENT,8,Sprint 1: Critical Blockers & Fixes,roadmap,
Implement Reverse Operation Order,"Decrement inventory before marking order as done. Call decrementInventoryForOrderItem() first, only bump item if decrement succeeds.",Task,URGENT,16,Sprint 1: Critical Blockers & Fixes,roadmap,
Add Comprehensive Error Handling,"Ensure both operations rolled back on any failure. Catch all error types, log error details, show user-friendly error message.",Task,URGENT,16,Sprint 1: Critical Blockers & Fixes,roadmap,
Write Rollback Test Cases,"Create test suite for inventory rollback scenarios. Test successful bump + decrement, decrement failure, network errors, and database errors.",Task,HIGH,24,Sprint 1: Critical Blockers & Fixes,roadmap,
Profile Current KDS Queries,"Identify N+1 query pattern in KDS context. Enable query logging, load event with multiple fired courses, count total queries executed.",Task,HIGH,8,Sprint 1: Critical Blockers & Fixes,roadmap,
Implement Batch Query for Order Items,Load all order items in single query instead of per-course. Replace per-course queries with single batch query using .in() filter.,Task,HIGH,16,Sprint 1: Critical Blockers & Fixes,roadmap,
Implement Client-Side Grouping,Group items by fired course after batch fetch. Create grouping function and group items by fired_course_id.,Task,HIGH,12,Sprint 1: Critical Blockers & Fixes,roadmap,
Performance Benchmark,Measure query performance improvement. Measure query time before/after optimization and calculate improvement percentage.,Task,HIGH,8,Sprint 1: Critical Blockers & Fixes,roadmap,
Design Unified Auth Flow,Document integration points between Manus OAuth and Supabase Auth. Create unified flow diagram and document token exchange process.,Task,URGENT,16,Sprint 2: Authentication & Security,roadmap,
Update Backend OAuth Endpoint,Return both Manus and Supabase tokens from login. Modify /api/auth/login endpoint to generate Supabase token on Manus login.,Task,URGENT,24,Sprint 2: Authentication & Security,roadmap,
Update use-auth.ts Hook,Integrate hook with Supabase session. Store both Manus and Supabase tokens and sync session state.,Task,URGENT,16,Sprint 2: Authentication & Security,roadmap,
Update auth-context.tsx,"Remove duplicate auth logic, use unified flow. Remove duplicate auth state and use single auth context.",Task,URGENT,16,Sprint 2: Authentication & Security,roadmap,
Test Unified Auth Flow,Test login on mobile and web. Verify both Manus and Supabase sessions created and work correctly.,Task,HIGH,24,Sprint 2: Authentication & Security,roadmap,
Remove Deprecated Auth Code,"Clean up old authentication implementations. Identify and remove deprecated code, old auth contexts, and old auth hooks.",Task,HIGH,8,Sprint 2: Authentication & Security,roadmap,
Design Token Storage Format,Define structure for storing tokens with expiration. Define StoredToken interface and document storage location.,Task,HIGH,8,Sprint 2: Authentication & Security,roadmap,
Implement getValidToken() Function,Check expiration and refresh if needed. Create getValidToken() function that checks if token expired and calls refresh endpoint if needed.,Task,HIGH,16,Sprint 2: Authentication & Security,roadmap,
Add Backend Refresh Endpoint,Create POST /api/auth/refresh endpoint. Accept refreshToken parameter and return new token and refreshToken.,Task,HIGH,16,Sprint 2: Authentication & Security,roadmap,
Integrate Refresh into API Calls,Auto-refresh before each API call. Update API client to call getValidToken() before making request.,Task,HIGH,16,Sprint 2: Authentication & Security,roadmap,
Test Token Expiration Scenarios,"Test all token refresh scenarios. Test with valid token, expired token, expiring soon token, and refresh failure.",Task,HIGH,16,Sprint 2: Authentication & Security,roadmap,
Add CSRF Token Generation on Backend,Generate and set CSRF token cookie on login. Generate random CSRF token and set as httpOnly cookie with secure flag.,Task,HIGH,16,Sprint 2: Authentication & Security,roadmap,
Add CSRF Validation Middleware,Validate CSRF token on all mutations. Create validateCsrfToken middleware and apply to all POST/PUT/DELETE routes.,Task,HIGH,16,Sprint 2: Authentication & Security,roadmap,
Update API Client to Include CSRF Token,Read CSRF token from cookie and add to headers. Create getCsrfToken() function and add to X-CSRF-Token header.,Task,HIGH,16,Sprint 2: Authentication & Security,roadmap,
Test CSRF Protection,"Verify CSRF protection works. Test valid token accepted, missing token rejected, invalid token rejected.",Task,HIGH,16,Sprint 2: Authentication & Security,roadmap,
Create service-types.ts with All Interfaces,"Define TypeScript interfaces for all service parameters. Create EventParams, UpdateEventParams, StaffParams, ClientParams, InvoiceParams, and MenuItemParams interfaces.",Task,HIGH,24,Sprint 3: Code Quality & Maintainability,roadmap,
Update Event Service Functions,"Apply EventParams types to all event functions. Update createEvent(), updateEvent(), getEvents(), and getEvent() signatures.",Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Update Staff Service Functions,"Apply StaffParams types to all staff functions. Update createStaff(), updateStaff(), and getStaff() signatures.",Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Update Client Service Functions,"Apply ClientParams types to all client functions. Update createClient(), updateClient(), and getClients() signatures.",Task,HIGH,12,Sprint 3: Code Quality & Maintainability,roadmap,
Update Invoice Service Functions,"Apply InvoiceParams types to all invoice functions. Update createInvoice(), updateInvoice(), and getInvoices() signatures.",Task,HIGH,12,Sprint 3: Code Quality & Maintainability,roadmap,
Fix TypeScript Errors in Components,"Update form components to use typed services. Update EventForm, StaffForm, ClientForm, and InvoiceForm components.",Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
