Task Name,Description,Assignee,Due Date,Priority,Custom: Story Points,Custom: Sprint,Custom: Dependencies
Analyze Current KDS UI Implementation,"Document current mock data usage in KDS screens. Identify all mock data in expo.tsx, station.tsx, and plating.tsx. Document data structures needed from context.",,,URGENT,8,Sprint 1: Critical Blockers & Fixes,
Connect Expo Screen to useKDSInventory(),"Replace mock courses with real data from context. Import useKDSInventory hook and replace mockCourses, mockTableGroups, and mockFiredCourses with real data.",,,URGENT,16,Sprint 1: Critical Blockers & Fixes,1.A.1
Connect Station Screen to Real Context,Replace mock items with real order items from context. Import useKDSInventory hook and implement proper grouping by fired course.,,,URGENT,16,Sprint 1: Critical Blockers & Fixes,1.A.1
Connect Plating Screen to Real Context,Replace mock courses with real completion status. Import useKDSInventory hook and show real completion status.,,,URGENT,12,Sprint 1: Critical Blockers & Fixes,1.A.1
Add Loading States to KDS Screens,Implement LoadingSpinner during data fetch. Import LoadingSpinner component and show spinner while loading is true.,,,HIGH,16,Sprint 1: Critical Blockers & Fixes,1.A.2; 1.A.3; 1.A.4
Add Error Handling to KDS Screens,Implement ErrorDisplay with retry functionality. Import ErrorDisplay component and show error message if context returns error.,,,HIGH,16,Sprint 1: Critical Blockers & Fixes,1.A.2; 1.A.3; 1.A.4
End-to-End KDS Workflow Test,"Test complete KDS workflow with real data. Create test event in Supabase, add courses and table groups, fire courses, verify appearance on station screens, and bump items.",,,HIGH,24,Sprint 1: Critical Blockers & Fixes,1.A.5; 1.A.6
Analyze Current Inventory Flow,"Document current bumpItemWithInventory() implementation. Identify current operation order, document failure scenarios, and identify data inconsistency risks.",,,URGENT,8,Sprint 1: Critical Blockers & Fixes,
Implement Reverse Operation Order,"Decrement inventory before marking order as done. Call decrementInventoryForOrderItem() first, only bump item if decrement succeeds.",,,URGENT,16,Sprint 1: Critical Blockers & Fixes,1.B.1
Add Comprehensive Error Handling,"Ensure both operations rolled back on any failure. Catch all error types, log error details, show user-friendly error message.",,,URGENT,16,Sprint 1: Critical Blockers & Fixes,1.B.2
Write Rollback Test Cases,"Create test suite for inventory rollback scenarios. Test successful bump + decrement, decrement failure, network errors, and database errors.",,,HIGH,24,Sprint 1: Critical Blockers & Fixes,1.B.3
Profile Current KDS Queries,"Identify N+1 query pattern in KDS context. Enable query logging, load event with multiple fired courses, count total queries executed.",,,HIGH,8,Sprint 1: Critical Blockers & Fixes,
Implement Batch Query for Order Items,Load all order items in single query instead of per-course. Replace per-course queries with single batch query using .in() filter.,,,HIGH,16,Sprint 1: Critical Blockers & Fixes,1.C.1
Implement Client-Side Grouping,Group items by fired course after batch fetch. Create grouping function and group items by fired_course_id.,,,HIGH,12,Sprint 1: Critical Blockers & Fixes,1.C.2
Performance Benchmark,Measure query performance improvement. Measure query time before/after optimization and calculate improvement percentage.,,,HIGH,8,Sprint 1: Critical Blockers & Fixes,1.C.3
Design Unified Auth Flow,Document integration points between Manus OAuth and Supabase Auth. Create unified flow diagram and document token exchange process.,,,URGENT,16,Sprint 2: Authentication & Security,
Update Backend OAuth Endpoint,Return both Manus and Supabase tokens from login. Modify /api/auth/login endpoint to generate Supabase token on Manus login.,,,URGENT,24,Sprint 2: Authentication & Security,2.A.1
Update use-auth.ts Hook,Integrate hook with Supabase session. Store both Manus and Supabase tokens and sync session state.,,,URGENT,16,Sprint 2: Authentication & Security,2.A.2
Update auth-context.tsx,"Remove duplicate auth logic, use unified flow. Remove duplicate auth state and use single auth context.",,,URGENT,16,Sprint 2: Authentication & Security,2.A.3
Test Unified Auth Flow,Test login on mobile and web. Verify both Manus and Supabase sessions created and work correctly.,,,HIGH,24,Sprint 2: Authentication & Security,2.A.4
Remove Deprecated Auth Code,"Clean up old authentication implementations. Identify and remove deprecated code, old auth contexts, and old auth hooks.",,,HIGH,8,Sprint 2: Authentication & Security,2.A.5
Design Token Storage Format,Define structure for storing tokens with expiration. Define StoredToken interface and document storage location.,,,HIGH,8,Sprint 2: Authentication & Security,
Implement getValidToken() Function,Check expiration and refresh if needed. Create getValidToken() function that checks if token expired and calls refresh endpoint if needed.,,,HIGH,16,Sprint 2: Authentication & Security,2.B.1
Add Backend Refresh Endpoint,Create POST /api/auth/refresh endpoint. Accept refreshToken parameter and return new token and refreshToken.,,,HIGH,16,Sprint 2: Authentication & Security,2.B.1
Integrate Refresh into API Calls,Auto-refresh before each API call. Update API client to call getValidToken() before making request.,,,HIGH,16,Sprint 2: Authentication & Security,2.B.2; 2.B.3
Test Token Expiration Scenarios,"Test all token refresh scenarios. Test with valid token, expired token, expiring soon token, and refresh failure.",,,HIGH,16,Sprint 2: Authentication & Security,2.B.4
Add CSRF Token Generation on Backend,Generate and set CSRF token cookie on login. Generate random CSRF token and set as httpOnly cookie with secure flag.,,,HIGH,16,Sprint 2: Authentication & Security,
Add CSRF Validation Middleware,Validate CSRF token on all mutations. Create validateCsrfToken middleware and apply to all POST/PUT/DELETE routes.,,,HIGH,16,Sprint 2: Authentication & Security,2.C.1
Update API Client to Include CSRF Token,Read CSRF token from cookie and add to headers. Create getCsrfToken() function and add to X-CSRF-Token header.,,,HIGH,16,Sprint 2: Authentication & Security,2.C.1
Test CSRF Protection,"Verify CSRF protection works. Test valid token accepted, missing token rejected, invalid token rejected.",,,HIGH,16,Sprint 2: Authentication & Security,2.C.3
Create service-types.ts with All Interfaces,"Define TypeScript interfaces for all service parameters. Create EventParams, UpdateEventParams, StaffParams, ClientParams, InvoiceParams, and MenuItemParams interfaces.",,,HIGH,24,Sprint 3: Code Quality & Maintainability,
Update Event Service Functions,"Apply EventParams types to all event functions. Update createEvent(), updateEvent(), getEvents(), and getEvent() signatures.",,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.A.1
Update Staff Service Functions,"Apply StaffParams types to all staff functions. Update createStaff(), updateStaff(), and getStaff() signatures.",,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.A.1
Update Client Service Functions,"Apply ClientParams types to all client functions. Update createClient(), updateClient(), and getClients() signatures.",,,HIGH,12,Sprint 3: Code Quality & Maintainability,3.A.1
Update Invoice Service Functions,"Apply InvoiceParams types to all invoice functions. Update createInvoice(), updateInvoice(), and getInvoices() signatures.",,,HIGH,12,Sprint 3: Code Quality & Maintainability,3.A.1
Fix TypeScript Errors in Components,"Update form components to use typed services. Update EventForm, StaffForm, ClientForm, and InvoiceForm components.",,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.A.2; 3.A.3; 3.A.4; 3.A.5
Create use-crud-list Hook,"Generic hook for CRUD list management. Accept fetchFn and searchKeys parameters, implement search filtering and form management.",,,HIGH,24,Sprint 3: Code Quality & Maintainability,
Refactor Events Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate state management and search logic.,,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.B.1
