Sprint,Issue ID,Title,Description,Priority,Effort Hours,Story Points,Status,Related Files,Dependencies
Sprint 1: Critical Blockers & Fixes,1.A.1,Analyze Current KDS UI Implementation,"Document current mock data usage in KDS screens. Identify all mock data in expo.tsx, station.tsx, and plating.tsx. Document data structures needed from context.",URGENT,1,8,To Do,app/kds/expo.tsx; app/kds/station.tsx; app/kds/plating.tsx,
Sprint 1: Critical Blockers & Fixes,1.A.2,Connect Expo Screen to useKDSInventory(),"Replace mock courses with real data from context. Import useKDSInventory hook and replace mockCourses, mockTableGroups, and mockFiredCourses with real data.",URGENT,2,16,To Do,app/kds/expo.tsx; lib/kds-context-with-inventory.tsx,1.A.1
Sprint 1: Critical Blockers & Fixes,1.A.3,Connect Station Screen to Real Context,Replace mock items with real order items from context. Import useKDSInventory hook and implement proper grouping by fired course.,URGENT,2,16,To Do,app/kds/station.tsx; lib/kds-context-with-inventory.tsx,1.A.1
Sprint 1: Critical Blockers & Fixes,1.A.4,Connect Plating Screen to Real Context,Replace mock courses with real completion status. Import useKDSInventory hook and show real completion status.,URGENT,1.5,12,To Do,app/kds/plating.tsx; lib/kds-context-with-inventory.tsx,1.A.1
Sprint 1: Critical Blockers & Fixes,1.A.5,Add Loading States to KDS Screens,Implement LoadingSpinner during data fetch. Import LoadingSpinner component and show spinner while loading is true.,HIGH,2,16,To Do,shared/components/LoadingSpinner.tsx; app/kds/expo.tsx; app/kds/station.tsx; app/kds/plating.tsx,1.A.2; 1.A.3; 1.A.4
Sprint 1: Critical Blockers & Fixes,1.A.6,Add Error Handling to KDS Screens,Implement ErrorDisplay with retry functionality. Import ErrorDisplay component and show error message if context returns error.,HIGH,2,16,To Do,shared/components/ErrorDisplay.tsx; app/kds/expo.tsx; app/kds/station.tsx; app/kds/plating.tsx,1.A.2; 1.A.3; 1.A.4
Sprint 1: Critical Blockers & Fixes,1.A.7,End-to-End KDS Workflow Test,"Test complete KDS workflow with real data. Create test event in Supabase, add courses and table groups, fire courses, verify appearance on station screens, and bump items.",HIGH,3,24,To Do,app/kds/expo.tsx; app/kds/station.tsx; app/kds/plating.tsx; lib/kds-context-with-inventory.tsx,1.A.5; 1.A.6
Sprint 1: Critical Blockers & Fixes,1.B.1,Analyze Current Inventory Flow,"Document current bumpItemWithInventory() implementation. Identify current operation order, document failure scenarios, and identify data inconsistency risks.",URGENT,1,8,To Do,lib/kds-context-with-inventory.tsx; lib/supabase-inventory.ts,
Sprint 1: Critical Blockers & Fixes,1.B.2,Implement Reverse Operation Order,"Decrement inventory before marking order as done. Call decrementInventoryForOrderItem() first, only bump item if decrement succeeds.",URGENT,2,16,To Do,lib/kds-context-with-inventory.tsx; lib/supabase-inventory.ts,1.B.1
Sprint 1: Critical Blockers & Fixes,1.B.3,Add Comprehensive Error Handling,"Ensure both operations rolled back on any failure. Catch all error types, log error details, show user-friendly error message.",URGENT,2,16,To Do,lib/kds-context-with-inventory.tsx; shared/components/ErrorDisplay.tsx,1.B.2
Sprint 1: Critical Blockers & Fixes,1.B.4,Write Rollback Test Cases,"Create test suite for inventory rollback scenarios. Test successful bump + decrement, decrement failure, network errors, and database errors.",HIGH,3,24,To Do,web/__tests__/inventory-rollback.test.ts,1.B.3
Sprint 1: Critical Blockers & Fixes,1.C.1,Profile Current KDS Queries,"Identify N+1 query pattern in KDS context. Enable query logging, load event with multiple fired courses, count total queries executed.",HIGH,1,8,To Do,lib/kds-context-realtime.tsx; lib/kds-context-with-inventory.tsx,
Sprint 1: Critical Blockers & Fixes,1.C.2,Implement Batch Query for Order Items,Load all order items in single query instead of per-course. Replace per-course queries with single batch query using .in() filter.,HIGH,2,16,To Do,lib/kds-context-realtime.tsx; lib/kds-context-with-inventory.tsx,1.C.1
Sprint 1: Critical Blockers & Fixes,1.C.3,Implement Client-Side Grouping,Group items by fired course after batch fetch. Create grouping function and group items by fired_course_id.,HIGH,1.5,12,To Do,lib/kds-context-realtime.tsx,1.C.2
Sprint 1: Critical Blockers & Fixes,1.C.4,Performance Benchmark,Measure query performance improvement. Measure query time before/after optimization and calculate improvement percentage.,HIGH,1,8,To Do,,1.C.3
Sprint 2: Authentication & Security,2.A.1,Design Unified Auth Flow,Document integration points between Manus OAuth and Supabase Auth. Create unified flow diagram and document token exchange process.,URGENT,2,16,To Do,,
Sprint 2: Authentication & Security,2.A.2,Update Backend OAuth Endpoint,Return both Manus and Supabase tokens from login. Modify /api/auth/login endpoint to generate Supabase token on Manus login.,URGENT,3,24,To Do,,2.A.1
Sprint 2: Authentication & Security,2.A.3,Update use-auth.ts Hook,Integrate hook with Supabase session. Store both Manus and Supabase tokens and sync session state.,URGENT,2,16,To Do,hooks/use-auth.ts,2.A.2
Sprint 2: Authentication & Security,2.A.4,Update auth-context.tsx,"Remove duplicate auth logic, use unified flow. Remove duplicate auth state and use single auth context.",URGENT,2,16,To Do,shared/auth-context.tsx,2.A.3
Sprint 2: Authentication & Security,2.A.5,Test Unified Auth Flow,Test login on mobile and web. Verify both Manus and Supabase sessions created and work correctly.,HIGH,3,24,To Do,,2.A.4
Sprint 2: Authentication & Security,2.A.6,Remove Deprecated Auth Code,"Clean up old authentication implementations. Identify and remove deprecated code, old auth contexts, and old auth hooks.",HIGH,1,8,To Do,,2.A.5
Sprint 2: Authentication & Security,2.B.1,Design Token Storage Format,Define structure for storing tokens with expiration. Define StoredToken interface and document storage location.,HIGH,1,8,To Do,,
Sprint 2: Authentication & Security,2.B.2,Implement getValidToken() Function,Check expiration and refresh if needed. Create getValidToken() function that checks if token expired and calls refresh endpoint if needed.,HIGH,2,16,To Do,lib/_core/auth.ts,2.B.1
Sprint 2: Authentication & Security,2.B.3,Add Backend Refresh Endpoint,Create POST /api/auth/refresh endpoint. Accept refreshToken parameter and return new token and refreshToken.,HIGH,2,16,To Do,,2.B.1
Sprint 2: Authentication & Security,2.B.4,Integrate Refresh into API Calls,Auto-refresh before each API call. Update API client to call getValidToken() before making request.,HIGH,2,16,To Do,lib/_core/api.ts,2.B.2; 2.B.3
Sprint 2: Authentication & Security,2.B.5,Test Token Expiration Scenarios,"Test all token refresh scenarios. Test with valid token, expired token, expiring soon token, and refresh failure.",HIGH,2,16,To Do,,2.B.4
Sprint 2: Authentication & Security,2.C.1,Add CSRF Token Generation on Backend,Generate and set CSRF token cookie on login. Generate random CSRF token and set as httpOnly cookie with secure flag.,HIGH,2,16,To Do,,
Sprint 2: Authentication & Security,2.C.2,Add CSRF Validation Middleware,Validate CSRF token on all mutations. Create validateCsrfToken middleware and apply to all POST/PUT/DELETE routes.,HIGH,2,16,To Do,,2.C.1
Sprint 2: Authentication & Security,2.C.3,Update API Client to Include CSRF Token,Read CSRF token from cookie and add to headers. Create getCsrfToken() function and add to X-CSRF-Token header.,HIGH,2,16,To Do,lib/_core/api.ts,2.C.1
Sprint 2: Authentication & Security,2.C.4,Test CSRF Protection,"Verify CSRF protection works. Test valid token accepted, missing token rejected, invalid token rejected.",HIGH,2,16,To Do,,2.C.3
Sprint 3: Code Quality & Maintainability,3.A.1,Create service-types.ts with All Interfaces,"Define TypeScript interfaces for all service parameters. Create EventParams, UpdateEventParams, StaffParams, ClientParams, InvoiceParams, and MenuItemParams interfaces.",HIGH,3,24,To Do,web/lib/types/service-types.ts,
Sprint 3: Code Quality & Maintainability,3.A.2,Update Event Service Functions,"Apply EventParams types to all event functions. Update createEvent(), updateEvent(), getEvents(), and getEvent() signatures.",HIGH,2,16,To Do,web/lib/supabase-services.ts,3.A.1
Sprint 3: Code Quality & Maintainability,3.A.3,Update Staff Service Functions,"Apply StaffParams types to all staff functions. Update createStaff(), updateStaff(), and getStaff() signatures.",HIGH,2,16,To Do,web/lib/supabase-services.ts,3.A.1
Sprint 3: Code Quality & Maintainability,3.A.4,Update Client Service Functions,"Apply ClientParams types to all client functions. Update createClient(), updateClient(), and getClients() signatures.",HIGH,1.5,12,To Do,web/lib/supabase-services.ts,3.A.1
Sprint 3: Code Quality & Maintainability,3.A.5,Update Invoice Service Functions,"Apply InvoiceParams types to all invoice functions. Update createInvoice(), updateInvoice(), and getInvoices() signatures.",HIGH,1.5,12,To Do,web/lib/supabase-services.ts,3.A.1
Sprint 3: Code Quality & Maintainability,3.A.6,Fix TypeScript Errors in Components,"Update form components to use typed services. Update EventForm, StaffForm, ClientForm, and InvoiceForm components.",HIGH,2,16,To Do,web/components/event-form.tsx; web/components/staff-form.tsx; web/components/client-form.tsx; web/components/invoice-form.tsx,3.A.2; 3.A.3; 3.A.4; 3.A.5
Sprint 3: Code Quality & Maintainability,3.B.1,Create use-crud-list Hook,"Generic hook for CRUD list management. Accept fetchFn and searchKeys parameters, implement search filtering and form management.",HIGH,3,24,To Do,web/hooks/use-crud-list.ts,
Sprint 3: Code Quality & Maintainability,3.B.2,Refactor Events Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate state management and search logic.,HIGH,2,16,To Do,web/app/events/page.tsx,3.B.1
Sprint 3: Code Quality & Maintainability,3.B.3,Refactor Clients Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,HIGH,2,16,To Do,web/app/clients/page.tsx,3.B.1
Sprint 3: Code Quality & Maintainability,3.B.4,Refactor Staff Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,HIGH,2,16,To Do,web/app/staff/page.tsx,3.B.1
